system,device,version,precision,matrix_size,k,kernel,time
desktop,uhd630,sycl,simple,54675x1973,4,Division,201.613
desktop,uhd630,sycl,simple,54675x1973,4,Reduction,2.01551
desktop,uhd630,sycl,simple,54675x1973,4,Dot product,0.533984
desktop,uhd630,openmp,simple,54675x1973,4,Gemm,284.054
desktop,uhd630,openmp,simple,54675x1973,4,Division,255.41
desktop,uhd630,openmp,simple,54675x1973,4,Reduction,5.34576
desktop,uhd630,openmp,simple,54675x1973,4,Dot product,0.46837
desktop,i7-10700,openmp,simple,54675x1973,4,Gemm,299.204
desktop,i7-10700,openmp,simple,54675x1973,4,Division,232.111
desktop,i7-10700,openmp,simple,54675x1973,4,Reduction,0.468417
desktop,i7-10700,openmp,simple,54675x1973,4,Dot product,0.330332
desktop,i7-10700,base_code,simple,16063x280,4,Gemm,6.87531
desktop,i7-10700,base_code,simple,16063x280,4,Division,14.4987
desktop,i7-10700,base_code,simple,16063x280,4,Reduction,0.080879
desktop,i7-10700,base_code,simple,16063x280,4,Dot product,0.135873
desktop,uhd630,sycl,simple,16063x280,4,Gemm,10.1607
desktop,uhd630,sycl,simple,16063x280,4,Division,16.0056
desktop,uhd630,sycl,simple,16063x280,4,Reduction,0.993082
desktop,uhd630,sycl,simple,16063x280,4,Dot product,0.44693
desktop,i7-10700,openmp,simple,5000x38,4,Gemm,0.11213
desktop,i7-10700,openmp,simple,5000x38,4,Division,0.132681
desktop,i7-10700,openmp,simple,5000x38,4,Reduction,0.025248
desktop,i7-10700,openmp,simple,5000x38,4,Dot product,0.016754
desktop,i7-10700,sycl,simple,5000x38,4,Gemm,0.209642
desktop,i7-10700,sycl,simple,5000x38,4,Division,0.152471
desktop,i7-10700,sycl,simple,5000x38,4,Reduction,0.041686
desktop,i7-10700,sycl,simple,5000x38,4,Dot product,0.100751
desktop,i7-10700,base_code,simple,54675x1973,4,Gemm,301.384
desktop,i7-10700,base_code,simple,54675x1973,4,Division,353.34
desktop,i7-10700,base_code,simple,54675x1973,4,Reduction,0.293453
desktop,i7-10700,base_code,simple,54675x1973,4,Dot product,0.470904
desktop,i7-10700,openmp,simple,16063x280,4,Gemm,6.42283
desktop,i7-10700,openmp,simple,16063x280,4,Division,8.18611
desktop,i7-10700,openmp,simple,16063x280,4,Reduction,0.12745
desktop,i7-10700,openmp,simple,16063x280,4,Dot product,0.091404
